"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","Método","Potencia","tcomp"
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.011,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",0.991,1.13529181480408
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",0.991,1.07627868652344
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",0.991,1.07926177978516
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",0.991,1.04440069198608
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0115,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.997,1.12002420425415
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.997,1.0581169128418
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.997,1.07003307342529
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.997,1.27075147628784
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",0.998,1.10154581069946
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",0.998,1.06189441680908
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",0.997,1.09330248832703
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",0.997,1.01691842079163
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0125,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",0.999,1.14939785003662
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",0.999,1.04711031913757
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",0.999,1.32246279716492
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",0.999,1.0609176158905
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.013,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",1,1.13096141815186
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",1,1.06506299972534
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",1,1.12390327453613
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",1,1.05207991600037
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0135,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",1,1.10807633399963
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",1,1.05376768112183
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",1,1.07810735702515
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",1,1.02702832221985
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.014,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",1,1.14228415489197
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",1,1.05146741867065
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",1,1.09464359283447
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",1,1.03227353096008
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.0145,1000,"MANTA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.015,1000,"MANTA",1,1.11971354484558
